;NT;F;Accuracy;Fit time;Prediction times;Feature importance
0;1;1;0.8730325288562435;20.99305510520935;1.6530358791351318;{'CONVEX_AREA': 0.16955684007707128, 'PERIMETER': 0.14836223506743737, 'EXTENT': 0.1464354527938343, 'AREA': 0.14258188824662812, 'ECCENTRICITY': 0.14065510597302505, 'MAJORAXIS': 0.13872832369942195, 'MINORAXIS': 0.11368015414258188}
2;1;3;0.8824763903462749;80.13130521774292;2.419482946395874;{'PERIMETER': 0.24854368932038834, 'AREA': 0.1883495145631068, 'MAJORAXIS': 0.12233009708737864, 'MINORAXIS': 0.1203883495145631, 'ECCENTRICITY': 0.11844660194174757, 'EXTENT': 0.11650485436893204, 'CONVEX_AREA': 0.0854368932038835}
3;1;2;0.8961175236096537;20.818591833114624;0.9926340579986572;{'ECCENTRICITY': 0.18874172185430463, 'MINORAXIS': 0.15562913907284767, 'MAJORAXIS': 0.152317880794702, 'EXTENT': 0.1490066225165563, 'PERIMETER': 0.1456953642384106, 'CONVEX_AREA': 0.11920529801324503, 'AREA': 0.08940397350993377}
4;10;1;0.9139559286463799;96.54471898078918;7.361951112747192;{'CONVEX_AREA': 0.15384615384615385, 'MINORAXIS': 0.14624505928853754, 'ECCENTRICITY': 0.1447248403770143, 'AREA': 0.14168440255396778, 'MAJORAXIS': 0.14107631498935846, 'EXTENT': 0.13864396473092125, 'PERIMETER': 0.13377926421404682}
6;10;3;0.9076600209863589;362.3693959712982;11.247391939163208;{'EXTENT': 0.18722659667541558, 'MAJORAXIS': 0.16972878390201224, 'ECCENTRICITY': 0.16302128900554097, 'MINORAXIS': 0.13910761154855644, 'AREA': 0.1335666375036454, 'PERIMETER': 0.12510936132983377, 'CONVEX_AREA': 0.08223972003499562}
7;10;2;0.9202518363064008;217.54888772964478;10.408867835998535;{'ECCENTRICITY': 0.16328894035900404, 'EXTENT': 0.15981470758540822, 'MAJORAXIS': 0.15518239722061378, 'MINORAXIS': 0.14562825709322524, 'PERIMETER': 0.14244354371742907, 'AREA': 0.13144180660104227, 'CONVEX_AREA': 0.10220034742327735}
8;25;1;0.9171038824763903;268.41731691360474;20.596508741378784;{'PERIMETER': 0.14560530679933664, 'AREA': 0.1449419568822554, 'CONVEX_AREA': 0.1449419568822554, 'EXTENT': 0.14472084024322832, 'MINORAXIS': 0.14427860696517414, 'ECCENTRICITY': 0.13852957435046986, 'MAJORAXIS': 0.13698175787728026}
10;25;3;0.9139559286463799;871.0524170398712;26.744295835494995;{'EXTENT': 0.1710259166368088, 'ECCENTRICITY': 0.16612922488952586, 'MAJORAXIS': 0.16206855368446196, 'PERIMETER': 0.14367610175564313, 'MINORAXIS': 0.1388988415143915, 'AREA': 0.11811775946494685, 'CONVEX_AREA': 0.1000836020542219}
11;25;2;0.9150052465897167;577.6656589508057;25.652467966079712;{'EXTENT': 0.16356877323420074, 'ECCENTRICITY': 0.1612453531598513, 'MAJORAXIS': 0.16112918215613384, 'MINORAXIS': 0.15195167286245354, 'PERIMETER': 0.14300650557620817, 'AREA': 0.12105018587360594, 'CONVEX_AREA': 0.09804832713754646}
12;50;1;0.9171038824763903;570.8334491252899;43.764769077301025;{'AREA': 0.1483874470626561, 'EXTENT': 0.14431534368552504, 'CONVEX_AREA': 0.1421435552177218, 'ECCENTRICITY': 0.14181778694755132, 'PERIMETER': 0.14143772396568574, 'MINORAXIS': 0.1412748398306005, 'MAJORAXIS': 0.14062330329025952}
14;50;3;0.912906610703043;1398.3627922534943;43.933650970458984;{'ECCENTRICITY': 0.1712925717350496, 'EXTENT': 0.17008581389112362, 'MINORAXIS': 0.14749262536873156, 'MAJORAXIS': 0.14460981496379727, 'PERIMETER': 0.1370340573880397, 'AREA': 0.11886564762670958, 'CONVEX_AREA': 0.11061946902654868}
15;50;2;0.919202518363064;1195.0099740028381;52.44698905944824;{'ECCENTRICITY': 0.16668595902303507, 'EXTENT': 0.16136126866535477, 'MAJORAXIS': 0.15893043176293553, 'MINORAXIS': 0.14885982173862716, 'PERIMETER': 0.14006250723463365, 'AREA': 0.12107882856812131, 'CONVEX_AREA': 0.10302118300729252}
16;75;1;0.9181532004197271;907.2692620754242;69.90769171714783;{'PERIMETER': 0.14486150285672958, 'MAJORAXIS': 0.14392131337238737, 'CONVEX_AREA': 0.1435958631662689, 'EXTENT': 0.14352354089824257, 'ECCENTRICITY': 0.14265567368192666, 'MINORAXIS': 0.14222174007376873, 'AREA': 0.13922036595067622}
18;75;3;0.912906610703043;2517.6055097579956;77.85679388046265;{'EXTENT': 0.16796261230409734, 'ECCENTRICITY': 0.15845453446678215, 'MAJORAXIS': 0.15829338060513276, 'MINORAXIS': 0.1510414568309093, 'PERIMETER': 0.13464405140808186, 'AREA': 0.12328270416179847, 'CONVEX_AREA': 0.1063212602231981}
19;75;2;0.9160545645330536;1740.99036693573;76.84178709983826;{'EXTENT': 0.16332906722878868, 'MAJORAXIS': 0.15798388918166076, 'ECCENTRICITY': 0.156967552510728, 'MINORAXIS': 0.15489723706993902, 'PERIMETER': 0.1395769028081006, 'AREA': 0.11894903259805767, 'CONVEX_AREA': 0.10829631860272529}
