;NT;F;Accuracy;Fit time;Prediction times;Feature importance
0;1;1;0.7836538461538461;0.12893891334533691;0.04562997817993164;{'margin': 1.0}
1;1;2;0.7836538461538461;0.35899782180786133;0.0734398365020752;{'density': 0.6875, 'margin': 0.3125}
2;1;3;0.7355769230769231;4.139235019683838;0.10044121742248535;{'age': 0.7093023255813954, 'margin': 0.1569767441860465, 'density': 0.13372093023255813}
3;1;Runif(1/M);0.7355769230769231;3.691021203994751;0.1114959716796875;{'age': 0.6993464052287581, 'density': 0.1568627450980392, 'shape': 0.1437908496732026}
4;10;1;0.8173076923076923;3.1772427558898926;0.6106829643249512;{'age': 0.8894472361809045, 'margin': 0.06030150753768844, 'shape': 0.03015075376884422, 'density': 0.020100502512562814}
5;10;2;0.7788461538461539;14.23424482345581;0.9259238243103027;{'age': 0.7204301075268817, 'margin': 0.10752688172043011, 'density': 0.10215053763440861, 'shape': 0.06989247311827956}
6;10;3;0.7355769230769231;44.20612120628357;1.130277156829834;{'age': 0.7029823493609252, 'margin': 0.15642118076688982, 'density': 0.10286062081558126, 'shape': 0.03773584905660377}
7;10;Runif(1/M);0.7836538461538461;38.02401089668274;0.9374520778656006;{'age': 0.6816176470588236, 'shape': 0.11176470588235295, 'density': 0.1036764705882353, 'margin': 0.10294117647058823}
8;25;1;0.8028846153846154;8.066139221191406;1.4295859336853027;{'age': 0.8768577494692145, 'margin': 0.06794055201698514, 'shape': 0.03821656050955414, 'density': 0.016985138004246284}
9;25;2;0.8125;39.37028503417969;2.008171796798706;{'age': 0.7287098419173891, 'density': 0.10402855685874554, 'margin': 0.09026007139214687, 'shape': 0.07700152983171851}
10;25;3;0.8125;77.80326390266418;2.659844160079956;{'age': 0.6455862977602108, 'density': 0.12450592885375494, 'margin': 0.11857707509881422, 'shape': 0.11133069828722003}
11;25;Runif(1/M);0.7884615384615384;70.09541392326355;2.036545991897583;{'age': 0.6952850105559465, 'margin': 0.1266713581984518, 'density': 0.09992962702322308, 'shape': 0.0781140042223786}
12;50;1;0.7067307692307693;17.272987842559814;2.6470820903778076;{'age': 0.8894472361809045, 'margin': 0.06432160804020101, 'shape': 0.024120603015075376, 'density': 0.022110552763819097}
13;50;2;0.7932692307692307;72.15196084976196;4.132646083831787;{'age': 0.6965616045845272, 'density': 0.13982808022922635, 'shape': 0.08395415472779369, 'margin': 0.07965616045845272}
14;50;3;0.7932692307692307;163.3238890171051;5.096767902374268;{'age': 0.6551286122578597, 'margin': 0.14099714194982535, 'density': 0.1068593204191807, 'shape': 0.09701492537313433}
15;50;Runif(1/M);0.8173076923076923;126.37750101089478;4.128403902053833;{'age': 0.6782277465918204, 'margin': 0.11607858861267041, 'shape': 0.10324779470729752, 'density': 0.10244587008821171}
16;75;1;0.7980769230769231;18.92621374130249;4.180783987045288;{'age': 0.8341187558906692, 'margin': 0.06786050895381715, 'shape': 0.05655042412818096, 'density': 0.04147031102733271}
17;75;2;0.7980769230769231;93.37509894371033;5.378327131271362;{'age': 0.6743219597550306, 'density': 0.14457567804024496, 'shape': 0.09230096237970253, 'margin': 0.08880139982502187}
18;75;3;0.7836538461538461;256.55334401130676;6.931818962097168;{'age': 0.6970428485214243, 'margin': 0.10966462626088457, 'shape': 0.1047504095180619, 'density': 0.08854211569962928}
19;75;Runif(1/M);0.7980769230769231;169.159588098526;5.676144123077393;{'age': 0.6928523714094856, 'margin': 0.11275885103540415, 'shape': 0.10581162324649299, 'density': 0.08857715430861723}
20;100;1;0.8173076923076923;19.92057704925537;5.07207989692688;{'age': 0.7529626253418414, 'margin': 0.1349134001823154, 'shape': 0.06836827711941659, 'density': 0.04375569735642662}
21;100;2;0.8173076923076923;1082.4426009654999;7.524784803390503;{'age': 0.7059335557812273, 'density': 0.11678514434933991, 'margin': 0.09081677063687799, 'shape': 0.08646452923255477}
22;100;3;0.7836538461538461;327.62753891944885;9.20400881767273;{'age': 0.6883152173913043, 'margin': 0.11698369565217391, 'density': 0.09979619565217392, 'shape': 0.09490489130434783}
23;100;Runif(1/M);0.7932692307692307;262.82952094078064;8.061085939407349;{'age': 0.6900666900666901, 'margin': 0.11565461565461566, 'shape': 0.11126711126711127, 'density': 0.08301158301158301}
