;NT;F;Accuracy;Fit time;Prediction times;Feature importance
0;1;1;0.7740384615384616;0.6823160648345947;0.08935093879699707;{'age': 0.4838709677419355, 'margin': 0.1935483870967742, 'density': 0.1935483870967742, 'shape': 0.12903225806451613}
1;1;3;0.7692307692307693;2.982229232788086;0.10462307929992676;{'age': 0.631578947368421, 'margin': 0.16842105263157894, 'shape': 0.12631578947368421, 'density': 0.07368421052631578}
3;1;2;0.8028846153846154;1.6292200088500977;0.1117098331451416;{'age': 0.5588235294117647, 'margin': 0.20588235294117646, 'shape': 0.11764705882352941, 'density': 0.11764705882352941}
4;10;1;0.8125;7.889209985733032;0.8402659893035889;{'age': 0.40700808625336926, 'margin': 0.2210242587601078, 'shape': 0.20485175202156333, 'density': 0.16711590296495957}
5;10;3;0.7980769230769231;29.839659214019775;1.0437729358673096;{'age': 0.6607142857142857, 'margin': 0.1357142857142857, 'shape': 0.11964285714285715, 'density': 0.08392857142857142}
7;10;2;0.8076923076923077;19.106416940689087;0.8431417942047119;{'age': 0.5110565110565111, 'margin': 0.20515970515970516, 'shape': 0.14864864864864866, 'density': 0.13513513513513514}
8;25;1;0.8173076923076923;14.132089853286743;1.7989988327026367;{'age': 0.3691460055096419, 'margin': 0.23415977961432508, 'shape': 0.19972451790633608, 'density': 0.19696969696969696}
9;25;3;0.8076923076923077;70.23903584480286;2.5472869873046875;{'age': 0.6730158730158731, 'margin': 0.13192239858906527, 'shape': 0.11040564373897707, 'density': 0.08465608465608465}
11;25;2;0.8173076923076923;37.20993113517761;2.2749600410461426;{'age': 0.5528596187175043, 'margin': 0.17619872905834777, 'density': 0.1369150779896014, 'shape': 0.1340265742345465}
12;50;1;0.8125;26.935227155685425;3.162024974822998;{'age': 0.36801242236024845, 'margin': 0.22127329192546583, 'shape': 0.21972049689440995, 'density': 0.19099378881987578}
13;50;3;0.7980769230769231;135.91799592971802;4.664302110671997;{'age': 0.669877408056042, 'margin': 0.12942206654991242, 'shape': 0.12066549912434325, 'density': 0.08003502626970228}
15;50;2;0.8173076923076923;78.10809683799744;4.577146053314209;{'age': 0.5338496844520941, 'margin': 0.1804360298336202, 'shape': 0.15375788869764773, 'density': 0.13195639701663797}
16;75;1;0.8173076923076923;39.30395984649658;4.835911989212036;{'age': 0.3371685842921461, 'margin': 0.25062531265632815, 'shape': 0.23311655827913957, 'density': 0.1790895447723862}
17;75;3;0.8028846153846154;190.85236477851868;6.553447008132935;{'age': 0.6606537530266344, 'margin': 0.13268765133171914, 'shape': 0.11634382566585956, 'density': 0.09031476997578693}
19;75;2;0.8173076923076923;105.06885290145874;6.0828938484191895;{'age': 0.5472136222910217, 'margin': 0.17647058823529413, 'shape': 0.14125386996904024, 'density': 0.13506191950464397}
20;100;1;0.8173076923076923;56.69931602478027;6.711834192276001;{'age': 0.35642081617371774, 'margin': 0.2489704230625234, 'shape': 0.21789591913141146, 'density': 0.17671284163234743}
21;100;3;0.8173076923076923;265.63263487815857;8.839494228363037;{'age': 0.6703419760530622, 'margin': 0.13101903695408734, 'shape': 0.11439400465156344, 'density': 0.08424498234128694}
23;100;2;0.8125;149.6876540184021;8.274610757827759;{'age': 0.5527904579590635, 'margin': 0.1733176262700633, 'shape': 0.14548667353850686, 'density': 0.12840524223236638}
