;NT;F;Accuracy;Fit time;Prediction times;Feature importance
0;1;3;0.7631578947368421;0.5542237758636475;0.019006967544555664;{'thal': 0.45454545454545453, 'ca': 0.36363636363636365, 'restecg': 0.18181818181818182}
1;1;6;0.6447368421052632;2.240687131881714;0.028329849243164062;{'oldpeak': 0.4895833333333333, 'chol': 0.2916666666666667, 'thal': 0.11458333333333333, 'cp': 0.052083333333333336, 'slope': 0.041666666666666664, 'fbs': 0.010416666666666666}
2;1;9;0.7236842105263158;3.140913963317871;0.03198385238647461;{'oldpeak': 0.3739130434782609, 'age': 0.1565217391304348, 'trestbps': 0.11304347826086956, 'cp': 0.10434782608695652, 'ca': 0.10434782608695652, 'restecg': 0.08695652173913043, 'exang': 0.02608695652173913, 'slope': 0.02608695652173913, 'fbs': 0.008695652173913044}
3;1;Runif(1/M);0.6052631578947368;2.081662893295288;0.026439189910888672;{'trestbps': 0.34408602150537637, 'oldpeak': 0.3118279569892473, 'chol': 0.12903225806451613, 'sex': 0.08602150537634409, 'ca': 0.08602150537634409, 'restecg': 0.043010752688172046}
4;10;3;0.7236842105263158;12.50829815864563;0.2210547924041748;{'thalach': 0.2673992673992674, 'age': 0.2564102564102564, 'chol': 0.16483516483516483, 'trestbps': 0.14407814407814407, 'oldpeak': 0.06471306471306472, 'cp': 0.03663003663003663, 'ca': 0.02564102564102564, 'thal': 0.01098901098901099, 'sex': 0.01098901098901099, 'slope': 0.009768009768009768, 'exang': 0.003663003663003663, 'restecg': 0.002442002442002442, 'fbs': 0.002442002442002442}
5;10;6;0.75;22.314890146255493;0.3168182373046875;{'oldpeak': 0.3055848261327713, 'age': 0.1928345626975764, 'thalach': 0.1380400421496312, 'chol': 0.08535300316122234, 'trestbps': 0.08429926238145416, 'ca': 0.06217070600632244, 'sex': 0.029504741833508957, 'slope': 0.0273972602739726, 'restecg': 0.023182297154899896, 'thal': 0.022128556375131718, 'cp': 0.02107481559536354, 'exang': 0.005268703898840885, 'fbs': 0.003161222339304531}
6;10;9;0.7236842105263158;23.444252967834473;0.2744572162628174;{'ca': 0.17897371714643304, 'age': 0.14017521902377972, 'thalach': 0.11639549436795996, 'oldpeak': 0.11013767209011265, 'cp': 0.09762202753441802, 'chol': 0.06758448060075094, 'thal': 0.0625782227784731, 'restecg': 0.058823529411764705, 'trestbps': 0.057571964956195244, 'slope': 0.04380475594493116, 'sex': 0.030037546933667083, 'exang': 0.02753441802252816, 'fbs': 0.008760951188986232}
7;10;Runif(1/M);0.7763157894736842;29.49710202217102;0.25399088859558105;{'trestbps': 0.22736842105263158, 'oldpeak': 0.22631578947368422, 'age': 0.13789473684210526, 'chol': 0.08947368421052632, 'ca': 0.05894736842105263, 'thalach': 0.056842105263157895, 'cp': 0.04842105263157895, 'slope': 0.03684210526315789, 'thal': 0.034736842105263156, 'restecg': 0.03368421052631579, 'sex': 0.02736842105263158, 'exang': 0.015789473684210527, 'fbs': 0.00631578947368421}
8;25;3;0.75;29.165812969207764;0.5468087196350098;{'chol': 0.29143988124690745, 'trestbps': 0.2671944581890153, 'thalach': 0.1954477981197427, 'age': 0.09104403760514597, 'oldpeak': 0.06185056902523503, 'thal': 0.027214250371103414, 'slope': 0.025729836714497772, 'restecg': 0.010390895596239486, 'ca': 0.009401286491835725, 'sex': 0.007916872835230085, 'cp': 0.0054428500742206825, 'exang': 0.004453240969816922, 'fbs': 0.002474022761009401}
9;25;6;0.7368421052631579;46.64399576187134;0.6147117614746094;{'trestbps': 0.20957542908762422, 'thalach': 0.15582655826558264, 'oldpeak': 0.13685636856368563, 'age': 0.13414634146341464, 'chol': 0.12962962962962962, 'thal': 0.043812104787714544, 'sex': 0.04245709123757904, 'restecg': 0.04155374887082204, 'ca': 0.03523035230352303, 'cp': 0.03477868112014453, 'slope': 0.015356820234869015, 'exang': 0.014453477868112014, 'fbs': 0.006323396567299007}
10;25;9;0.75;69.46789813041687;0.7636322975158691;{'oldpeak': 0.20941176470588235, 'age': 0.10823529411764705, 'trestbps': 0.10729411764705882, 'ca': 0.10729411764705882, 'thalach': 0.09552941176470588, 'chol': 0.08705882352941176, 'restecg': 0.06588235294117648, 'cp': 0.06541176470588235, 'slope': 0.04752941176470588, 'thal': 0.03529411764705882, 'sex': 0.032, 'exang': 0.029647058823529412, 'fbs': 0.009411764705882352}
11;25;Runif(1/M);0.7631578947368421;51.095261096954346;0.5571432113647461;{'trestbps': 0.19633225458468176, 'oldpeak': 0.15857605177993528, 'thalach': 0.13807982740021574, 'age': 0.13214670981661272, 'chol': 0.10949298813376483, 'ca': 0.0825242718446602, 'cp': 0.04908306364617044, 'restecg': 0.032362459546925564, 'thal': 0.02696871628910464, 'sex': 0.022653721682847898, 'exang': 0.021574973031283712, 'slope': 0.021035598705501618, 'fbs': 0.009169363538295576}
12;50;3;0.7631578947368421;57.926676988601685;1.1616129875183105;{'oldpeak': 0.22797385620915034, 'chol': 0.20601307189542484, 'age': 0.19084967320261437, 'thalach': 0.14013071895424836, 'trestbps': 0.11633986928104575, 'cp': 0.030065359477124184, 'slope': 0.023790849673202615, 'thal': 0.017777777777777778, 'ca': 0.01699346405228758, 'sex': 0.012026143790849673, 'restecg': 0.009673202614379085, 'exang': 0.0044444444444444444, 'fbs': 0.00392156862745098}
13;50;6;0.8026315789473685;86.89071393013;1.4114549160003662;{'trestbps': 0.16752577319587628, 'thalach': 0.15581068416119961, 'oldpeak': 0.1450328022492971, 'age': 0.14268978444236177, 'chol': 0.09536082474226804, 'ca': 0.08247422680412371, 'cp': 0.048266166822867856, 'slope': 0.04147141518275539, 'restecg': 0.037019681349578254, 'thal': 0.03491096532333646, 'sex': 0.031865042174320526, 'exang': 0.012417994376757264, 'fbs': 0.005154639175257732}
14;50;9;0.7631578947368421;121.62156915664673;1.2188808917999268;{'oldpeak': 0.1974218190498926, 'age': 0.13129625208880402, 'trestbps': 0.12341847696347577, 'ca': 0.09692050608737168, 'thalach': 0.09405586058725232, 'chol': 0.09238481737884936, 'cp': 0.06421580329434233, 'restecg': 0.05156361900214848, 'slope': 0.04750537121031272, 'sex': 0.035091907376462166, 'thal': 0.0310336595846264, 'exang': 0.026259250417760803, 'fbs': 0.00883265695870136}
15;50;Runif(1/M);0.7763157894736842;101.1610791683197;1.1911637783050537;{'oldpeak': 0.1751640585562847, 'trestbps': 0.15774861181221606, 'age': 0.14285714285714285, 'thalach': 0.13427561837455831, 'chol': 0.11080262493690056, 'ca': 0.06663301362948006, 'cp': 0.05906108026249369, 'restecg': 0.048712771327612314, 'slope': 0.0292781423523473, 'thal': 0.024734982332155476, 'sex': 0.022968197879858657, 'exang': 0.021453811206461382, 'fbs': 0.0063099444724886425}
16;75;3;0.8026315789473685;84.41966390609741;1.6825201511383057;{'age': 0.2078026761244559, 'chol': 0.19168144446235694, 'thalach': 0.18829598581331614, 'oldpeak': 0.1665323230694825, 'trestbps': 0.14589714654199581, 'thal': 0.024181847493148476, 'ca': 0.023698210543285508, 'slope': 0.017733354828308883, 'cp': 0.014992745445752055, 'sex': 0.007576978881186523, 'restecg': 0.005158794131871675, 'fbs': 0.0037078832822827665, 'exang': 0.0027406093825568275}
17;75;6;0.7894736842105263;130.89531803131104;1.7433841228485107;{'trestbps': 0.1590111399359072, 'oldpeak': 0.1587059362124218, 'age': 0.15702731573325193, 'thalach': 0.14115672211200977, 'chol': 0.13093239737524798, 'cp': 0.05020601251335266, 'ca': 0.0494430032046391, 'slope': 0.03906607660613459, 'thal': 0.03860827102090646, 'sex': 0.030672974210285364, 'restecg': 0.030215168625057225, 'exang': 0.009919121013276362, 'fbs': 0.005035861437509537}
