;NT;F;Accuracy;Fit time;Prediction times;Feature importance
0;1;1;0.6842105263157895;0.3060922622680664;0.023965120315551758;{'chol': 0.15384615384615385, 'oldpeak': 0.15384615384615385, 'slope': 0.15384615384615385, 'trestbps': 0.11538461538461539, 'fbs': 0.11538461538461539, 'cp': 0.07692307692307693, 'thalach': 0.07692307692307693, 'sex': 0.038461538461538464, 'restecg': 0.038461538461538464, 'exang': 0.038461538461538464, 'thal': 0.038461538461538464, 'age': 0.0, 'ca': 0.0}
1;1;3;0.631578947368421;0.8268640041351318;0.02698206901550293;{'trestbps': 0.11320754716981132, 'restecg': 0.11320754716981132, 'thalach': 0.11320754716981132, 'exang': 0.11320754716981132, 'age': 0.09433962264150944, 'cp': 0.07547169811320754, 'fbs': 0.07547169811320754, 'ca': 0.07547169811320754, 'chol': 0.05660377358490566, 'slope': 0.05660377358490566, 'thal': 0.05660377358490566, 'sex': 0.03773584905660377, 'oldpeak': 0.018867924528301886}
2;1;4;0.7236842105263158;1.153263807296753;0.03289794921875;{'chol': 0.12307692307692308, 'restecg': 0.12307692307692308, 'oldpeak': 0.12307692307692308, 'cp': 0.1076923076923077, 'trestbps': 0.09230769230769231, 'ca': 0.09230769230769231, 'age': 0.07692307692307693, 'thalach': 0.07692307692307693, 'thal': 0.07692307692307693, 'fbs': 0.046153846153846156, 'slope': 0.046153846153846156, 'exang': 0.015384615384615385, 'sex': 0.0}
4;10;1;0.7631578947368421;3.24299693107605;0.2513101100921631;{'thalach': 0.10820895522388059, 'ca': 0.10074626865671642, 'age': 0.09701492537313433, 'trestbps': 0.08955223880597014, 'chol': 0.08582089552238806, 'exang': 0.08582089552238806, 'cp': 0.08208955223880597, 'thal': 0.07462686567164178, 'restecg': 0.06343283582089553, 'slope': 0.06343283582089553, 'oldpeak': 0.05970149253731343, 'sex': 0.04477611940298507, 'fbs': 0.04477611940298507}
5;10;3;0.7368421052631579;10.266740798950195;0.304779052734375;{'cp': 0.11172161172161173, 'oldpeak': 0.10805860805860806, 'ca': 0.0989010989010989, 'age': 0.09340659340659341, 'restecg': 0.08424908424908426, 'thalach': 0.08241758241758242, 'slope': 0.08241758241758242, 'trestbps': 0.07326007326007326, 'thal': 0.0695970695970696, 'exang': 0.056776556776556776, 'chol': 0.05128205128205128, 'fbs': 0.045787545787545784, 'sex': 0.04212454212454213}
6;10;4;0.7894736842105263;11.01896595954895;0.29125285148620605;{'cp': 0.122040072859745, 'oldpeak': 0.11657559198542805, 'ca': 0.1111111111111111, 'age': 0.08925318761384335, 'restecg': 0.07650273224043716, 'thalach': 0.07650273224043716, 'trestbps': 0.07103825136612021, 'chol': 0.07103825136612021, 'thal': 0.07103825136612021, 'exang': 0.060109289617486336, 'sex': 0.04735883424408015, 'fbs': 0.04553734061930783, 'slope': 0.04189435336976321}
8;25;1;0.7894736842105263;8.476709127426147;0.6252729892730713;{'age': 0.10857908847184987, 'thalach': 0.10455764075067024, 'oldpeak': 0.09249329758713137, 'cp': 0.09115281501340483, 'trestbps': 0.08847184986595175, 'chol': 0.07908847184986595, 'thal': 0.07640750670241286, 'ca': 0.06970509383378017, 'restecg': 0.06836461126005362, 'slope': 0.06836461126005362, 'exang': 0.057640750670241284, 'sex': 0.05227882037533512, 'fbs': 0.04289544235924933}
9;25;3;0.7763157894736842;22.775001049041748;0.7343780994415283;{'oldpeak': 0.11358574610244988, 'cp': 0.10467706013363029, 'ca': 0.10022271714922049, 'trestbps': 0.09205642167780252, 'age': 0.08908685968819599, 'restecg': 0.07869339272457312, 'thalach': 0.07498144023756496, 'thal': 0.07201187824795843, 'chol': 0.066815144766147, 'exang': 0.06310319227913883, 'slope': 0.05270972531551596, 'fbs': 0.05196733481811433, 'sex': 0.0400890868596882}
10;25;4;0.8289473684210527;27.370326042175293;0.757720947265625;{'ca': 0.12153846153846154, 'cp': 0.11076923076923077, 'oldpeak': 0.10384615384615385, 'trestbps': 0.08692307692307692, 'thalach': 0.0823076923076923, 'restecg': 0.08076923076923077, 'chol': 0.07692307692307693, 'age': 0.07307692307692308, 'thal': 0.06461538461538462, 'slope': 0.055384615384615386, 'fbs': 0.05076923076923077, 'exang': 0.05076923076923077, 'sex': 0.04230769230769231}
12;50;1;0.7631578947368421;18.601070165634155;1.19832181930542;{'chol': 0.09975062344139651, 'thalach': 0.09600997506234414, 'oldpeak': 0.09476309226932668, 'trestbps': 0.09039900249376559, 'age': 0.08541147132169576, 'slope': 0.07793017456359103, 'ca': 0.07418952618453865, 'restecg': 0.07231920199501247, 'thal': 0.06920199501246883, 'cp': 0.0685785536159601, 'sex': 0.06234413965087282, 'fbs': 0.05610972568578554, 'exang': 0.0529925187032419}
13;50;3;0.8157894736842105;41.69668912887573;1.253971815109253;{'ca': 0.11202084108671381, 'oldpeak': 0.10755489393375511, 'cp': 0.0963900260513584, 'age': 0.09229624116114626, 'trestbps': 0.0893189430591738, 'thalach': 0.08113137327874953, 'restecg': 0.07740975065128396, 'chol': 0.07145515444733903, 'thal': 0.06326758466691478, 'fbs': 0.05582433941198362, 'exang': 0.0543356903609974, 'slope': 0.05173055452177149, 'sex': 0.0472646073688128}
14;50;4;0.8026315789473685;48.22690510749817;1.273503065109253;{'oldpeak': 0.12377495462794919, 'ca': 0.11288566243194192, 'cp': 0.09909255898366606, 'trestbps': 0.08602540834845734, 'age': 0.08130671506352087, 'thalach': 0.07586206896551724, 'chol': 0.07549909255898367, 'restecg': 0.07223230490018148, 'exang': 0.06678765880217785, 'thal': 0.05916515426497278, 'slope': 0.0588021778584392, 'fbs': 0.045372050816696916, 'sex': 0.043194192377495465}
16;75;1;0.7894736842105263;30.627238035202026;2.0513436794281006;{'chol': 0.10080490609428899, 'thalach': 0.10080490609428899, 'age': 0.09658873131467996, 'trestbps': 0.08892295898811806, 'oldpeak': 0.08317362974319663, 'cp': 0.07550785741663472, 'slope': 0.07205825986968187, 'thal': 0.07090839402069758, 'ca': 0.0689919509390571, 'exang': 0.06477577615944806, 'sex': 0.06362591031046377, 'restecg': 0.062476044461479495, 'fbs': 0.051360674587964734}
17;75;3;0.8026315789473685;66.48572325706482;2.1545450687408447;{'ca': 0.11214017521902378, 'oldpeak': 0.10638297872340426, 'cp': 0.10613266583229036, 'age': 0.09086357947434293, 'trestbps': 0.08360450563204005, 'thalach': 0.08310387984981227, 'restecg': 0.0783479349186483, 'chol': 0.07058823529411765, 'thal': 0.06808510638297872, 'fbs': 0.052565707133917394, 'exang': 0.05181476846057572, 'slope': 0.05156445556946183, 'sex': 0.044806007509386736}
18;75;4;0.8026315789473685;80.7012209892273;2.0205941200256348;{'ca': 0.12454032851189017, 'oldpeak': 0.12355969600392253, 'cp': 0.10541799460652121, 'restecg': 0.08212797254228978, 'age': 0.0801667075263545, 'trestbps': 0.07869575876440305, 'thalach': 0.07599901936749204, 'chol': 0.07085069870066192, 'thal': 0.06423142927188036, 'slope': 0.054915420446187795, 'exang': 0.05148320666830106, 'fbs': 0.04682520225545477, 'sex': 0.041186565334640844}
20;100;1;0.8026315789473685;37.60820698738098;2.397758960723877;{'thalach': 0.09597523219814241, 'chol': 0.09473684210526316, 'trestbps': 0.09380804953560372, 'age': 0.08637770897832818, 'oldpeak': 0.0848297213622291, 'ca': 0.08111455108359134, 'cp': 0.07832817337461301, 'thal': 0.07647058823529412, 'slope': 0.07306501547987616, 'restecg': 0.0693498452012384, 'sex': 0.058823529411764705, 'exang': 0.05696594427244582, 'fbs': 0.05015479876160991}
21;100;3;0.7894736842105263;90.14688467979431;2.9609148502349854;{'ca': 0.10934281969668601, 'oldpeak': 0.10672158771765587, 'cp': 0.10035573862572551, 'trestbps': 0.08687511701928478, 'thalach': 0.08650065530799476, 'age': 0.08537727017412469, 'restecg': 0.07713911252574425, 'chol': 0.07526680396929414, 'thal': 0.06459464519752856, 'exang': 0.060850028084628346, 'slope': 0.05579479498221307, 'fbs': 0.04793109904512264, 'sex': 0.04325032765399738}
22;100;4;0.8026315789473685;106.68704319000244;2.846546173095703;{'ca': 0.11659858893427405, 'oldpeak': 0.11567025621982918, 'cp': 0.10712959524693651, 'trestbps': 0.08596360935759376, 'age': 0.08466394355737096, 'thalach': 0.07538061641292239, 'restecg': 0.0746379502413665, 'chol': 0.07185295209803194, 'thal': 0.06331229112513925, 'exang': 0.058484961010025996, 'slope': 0.0558856294095804, 'fbs': 0.04790196806535462, 'sex': 0.04251763832157445}
